책 제목,하이라이트 구절
The Call of the Wild (AmazonClassics Edition),"He was older than the days he had seen and the breaths he had drawn. He linked the past with the present, and the eternity behind him throbbed through him in a mighty rhythm to which he swayed as the tides and seasons swayed."
The Importance of Being Earnest (AmazonClassics Edition),All women become like their mothers. That is their tragedy. No man does. That’s his.
The Importance of Being Earnest (AmazonClassics Edition),"The truth is rarely pure and never simple. Modern life would be very tedious if it were either, and modern literature a complete impossibility!"
The Importance of Being Earnest (AmazonClassics Edition),More than half of modern culture depends on what one shouldn’t read.
The Weary Blues (AmazonClassics Edition),"The night is beautiful, So the faces of my people. The stars are beautiful, So the eyes of my people. Beautiful, also, is the sun. Beautiful, also, are the souls of my people."
The Weary Blues (AmazonClassics Edition),"My old man died in a fine big house. My ma died in a shack. I wonder where I’m gonna die, Being neither white nor black?"
The Weary Blues (AmazonClassics Edition),"Besides, They’ll see how beautiful I am And be ashamed,— I, too, am America."
The Turn of the Screw (AmazonClassics Edition),"Of course I was under the spell, and the wonderful part is that, even at the time, I perfectly knew I was."
The Turn of the Screw (AmazonClassics Edition),I scarce know how to put my story into words that shall be a credible picture of my state of mind; but I was in these days literally able to find a joy in the extraordinary flight of heroism the occasion demanded of me.
The Turn of the Screw (AmazonClassics Edition),"The place, with its gray sky and withered garlands, its bared spaces and scattered dead leaves, was like a theater after the performance—all strewn with crumpled playbills."
A Midsummer Night's Dream (AmazonClassics Edition),"Love looks not with the eyes, but with the mind; And therefore is wing’d Cupid painted blind."
A Midsummer Night's Dream (AmazonClassics Edition),"Either to die the death, or to abjure For ever the society of men."
A Midsummer Night's Dream (AmazonClassics Edition),"I beg the ancient privilege of Athens,— As she is mine I may dispose of her: Which shall be either to this gentleman 45 Or to her death; according to our law Immediately provided in that case."
The Jungle Book (AmazonClassics Edition),"Mother Wolf lay with her big gray nose dropped across her four tumbling, squealing cubs, and the moon shone into the mouth of the cave where they all lived."
The Jungle Book (AmazonClassics Edition),One of the beauties of Jungle Law is that punishment settles all scores. There is no nagging afterward.
The Jungle Book (AmazonClassics Edition),"Shere Khan was the tiger who lived near the Waingunga River, twenty miles away."
Hard Times (AmazonClassics Edition),"Ah, rather overdone, M’Choakumchild. If he had only learnt a little less, how infinitely better he might have taught much more!"
Hard Times (AmazonClassics Edition),"“Why, then, you are not to see anywhere, what you don’t see in fact; you are not to have anywhere, what you don’t have in fact. What is called Taste, is only another name for Fact.”"
A Little Princess (AmazonClassics Edition),"When you will not fly into a passion people know you are stronger than they are, because you are strong enough to hold in your rage, and they are not, and they say stupid things they wish they hadn’t said afterward. There’s nothing so strong as rage, except what makes you hold it in—that’s stronger."
A Little Princess (AmazonClassics Edition),"Perhaps there is a language which is not made of words and everything in the world understands it. Perhaps there is a soul hidden in everything and it can always speak, without even making a sound, to another soul."
A Little Princess (AmazonClassics Edition),Never did she find anything so difficult as to keep herself from losing her temper when she was suddenly disturbed while absorbed in a book. People who are fond of books know the feeling of irritation which sweeps over them at such a moment.
Beowulf (AmazonClassics Edition),"Woe for that man who in harm and hatred hales his soul 185 to fiery embraces;—nor favor nor change awaits he ever. But well for him that after death-day may draw to his Lord, and friendship find in the Father’s arms!"
Beowulf (AmazonClassics Edition),"THEN from the moorland, by misty crags, with God’s wrath laden, Grendel came."
Beowulf (AmazonClassics Edition),"Grendel now, monster cruel, be mine to quell in single battle!"
Darkness There: Selected Tales by Edgar Allan Poe [Kindle in Motion],I was never kinder to the old man than during the whole week before I killed him.
Darkness There: Selected Tales by Edgar Allan Poe [Kindle in Motion],"Death, in approaching him, had stalked with his black shadow before him, and enveloped the victim."
Darkness There: Selected Tales by Edgar Allan Poe [Kindle in Motion],"I was forced to fall back upon the unsatisfactory conclusion, that while, beyond doubt, there are combinations of very simple natural objects which have the power of thus affecting us, still the analysis of this power lies among considerations beyond our depth."
Darkness There: Selected Tales by Edgar Allan Poe [Kindle in Motion],I was never kinder to the old man than during the whole week before I killed him.
Darkness There: Selected Tales by Edgar Allan Poe [Kindle in Motion],"Death, in approaching him, had stalked with his black shadow before him, and enveloped the victim."
Darkness There: Selected Tales by Edgar Allan Poe [Kindle in Motion],"I was forced to fall back upon the unsatisfactory conclusion, that while, beyond doubt, there are combinations of very simple natural objects which have the power of thus affecting us, still the analysis of this power lies among considerations beyond our depth."
The Origin of Species (AmazonClassics Edition),"Hence, if man goes on selecting, and thus augmenting, any peculiarity, he will almost certainly unconsciously modify other parts of the structure, owing to the mysterious laws of the correlation of growth."
The Origin of Species (AmazonClassics Edition),"This preservation of favourable variations and the rejection of injurious variations, I call Natural Selection."
The Origin of Species (AmazonClassics Edition),"When we reflect on this struggle, we may console ourselves with the full belief, that the war of nature is not incessant, that no fear is felt, that death is generally prompt, and that the vigorous, the healthy, and the happy survive and multiply."
The Interpretation of Dreams (AmazonClassics Edition),"Aristotle asserts that the dream is of demoniacal, though not of divine nature, which indeed contains deep meaning, if it be correctly interpreted."
The Interpretation of Dreams (AmazonClassics Edition),"They distinguished between true and valuable dreams, sent to the dreamer to warn him or to foretell the future, and vain, fraudulent, and empty dreams, the object of which was to misguide or lead him to destruction."
The Interpretation of Dreams (AmazonClassics Edition),One of the sources from which the dream draws material for reproduction—material which in part is not recalled or employed in waking thought—is to be found in childhood.
