책 제목,책 소개글
The Metamorphosis (AmazonClassics Edition),"One morning, traveling salesman Gregor Samsa wakes from an anxious dream to discover that he has inexplicably changed into a monstrous insect. Nonetheless, life goes on, and poor Gregor is left to deal not only with the existential questions of who or what he now is but also with more mundane concerns: his job (which he fears he’ll lose), his loved ones (whom he fears he disgusts), and the daily indignities of everyday life (which continue apace). Soon, even those who sympathize with his bizarre predicament begin to lose their patience…
A darkly comic examination of social mores, family dynamics, and the nature of identity itself, Kafka’s unsettling masterpiece has inspired a century of literary debate and interpretive theories. But its enduring power lies in the simplicity of its audacious premise, its deadpan surrealism, and its humane sensitivity."
Heidi (AmazonClassics Edition),"Filled with the power of love and the beauty of nature, Heidi is a lyrical tale about a little girl sent to live in the mountains of the Swiss Alps with her grandfather. A grumpy recluse, her grandfather has isolated himself from his fellow townspeople and his church. In very little time, Heidi warms his heart; and she quickly charms the whole town and makes new friends, including young Peter, the goatherd. But when Heidi is sent away again to care for a young girl her own age, she must grow wise beyond her years, learning invaluable lessons that she will impart to others to better their lives.
In her best-known book, Johanna Spyri portrays how a child’s radiant joy and simple faith can transform the world around her.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Romeo and Juliet (AmazonClassics Edition),"When the feud between the Montagues and Capulets spills into the streets of Verona, a great love must be kept secret—that of Romeo, son of Montague, and Juliet, daughter of the sworn enemy. But only a tragic twist of fate can promise peace.
When Shakespeare staged Romeo and Juliet in 1594, it was already a centuries-old Italian tale that had been translated and adapted in verse and prose by a number of poets and storytellers. Out of the common threads of those now-forgotten works, Shakespeare created not only one of his most popular plays, but one that would become the archetypal love story of the English language."
The Republic (AmazonClassics Edition),"What is justice? In Plato’s Socratic dialogue, The Republic, the citizens of ancient Greece explore the world’s most fundamental question.
In search of an ideal civilization, Socrates leads Glaucon, Polemarchus, Thrasymachus, and others in debates about various subjects, including justice, truth, class, and art. For without righteousness, tyranny and injustice give rise to oligarchy.
The influential dialogues of The Republic helped shape all of Western literature and philosophical thought. It is as much a doctrine of ethics and politics now as it was for the ancient Greeks, and its dilemma remains: how to create a perfect society populated by very imperfect human beings.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Anne of Green Gables (AmazonClassics Edition),"Eleven-year-old orphan Anne Shirley has just arrived at Green Gables, and already her guardians want to send her back. First, she’s not the boy the Cuthberts expected. Second, she talks too much. And even with her generous spirit, the redhead’s a trouble magnet. She gets the neighbor drunk and nearly poisons the pastor!
Still, despite a rocky start, the fiery Anne wins over her guardians and her new community. She enjoys life at Green Gables, excels in school, and earns a coveted scholarship. But when tragedy hits, Anne must choose between her dreams and the only home she’s ever known.
In this beloved coming-of-age story, Lucy Maud Montgomery drew from her own experiences growing up in Canada during the nineteenth century to introduce generations of readers to one of literature’s most original and inspiring characters.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Twelve Years a Slave (AmazonClassics Edition),"Born into “the blessings of liberty in a free State,” Solomon Northup was kidnapped and sold into slavery in the Bayou Boeuf region of Louisiana’s Red River Valley. Twelve Years a Slave is the chronicle of his captivity at the mercy of sadistic plantation owner Edwin Epps, who tested Northup’s tenacity and self-control under the most brutal conditions. Until fate brought a Canadian abolitionist to Epps’s farm, Northup thought he would never draw another free breath.
To this day Northup’s harrowing memoir is recognized as the most reliable, accurate eyewitness account of the daily lives of slaves. As a significant historical reference, it is unsurpassed. As an authentic narrative of a man starved of his freedom, it is unforgettable.
AmazonClassics brings you timeless works from iconic authors. Ideal for anyone who wants to read a great work for the first time or revisit an old favorite, these new editions open the door to the stories and ideas that have shaped our world."
A Little Princess (AmazonClassics Edition),"To prepare his daughter, Sara, for society, wealthy widower Captain Ralph Crewe enrolls her in Miss Minchin’s Select Seminary for Young Ladies. Unspoiled and genial, Sara is given all the luxuries her father can afford—and the obsequious Miss Minchin is happy to indulge. But when her father dies and his fortune is lost, Sara is forced into servitude, stripped of her privileges and possessions, and subjected to Miss Minchin’s true cruel nature.
But as A Little Princess proves, with cleverness, resilience, selfless goodwill, and true friends, a child can be rewarded with infinite riches.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Adventures of Sherlock Holmes (AmazonClassics Edition),"What made Sherlock Holmes a household name and cultural icon? This very first collection of stories featuring the astute sleuth and his loyal assistant, Dr. Watson. In these twelve ingenious mysteries, Holmes is embroiled in betrayal, abduction, thievery, deception, and murder. Relying on logic, driven by instinct, and employing his uncanny powers of observation, Holmes cracks the cases that elude Scotland Yard. For him, it’s rather elementary.
This Baker Street dozen by Sir Arthur Conan Doyle is all the evidence readers will need to understand why Sherlock Holmes is an enduring legend in detective fiction."
A Connecticut Yankee in King Arthur's Court (AmazonClassics Edition),"After Hank Morgan of Hartford, Connecticut, takes a blow to the head, he inexplicably awakens in sixth-century Camelot. At first lost and confused, the time traveler soon realizes that he can use modern knowledge and his ability to foretell the future to his advantage. Consequently, he is granted a place in the king’s court as Arthur’s right-hand man. When the Catholic Church grows fearful of his power, the Connecticut Yankee aims higher and concocts a grandiose plan to bring American ideals to sixth-century England to change the future.
In his imaginative comedy, Mark Twain infuses the eternal story of King Arthur with wit and satirizes past social hierarchies as well as nineteenth-century meritocracy.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Anna Karenina (AmazonClassics Edition),"Beautiful, popular, and fortunate, Anna Karenina is an upright wife and mother. But her passionless marriage to a senior statesman leads her into the arms of Count Alexey Vronsky. The dashing cavalry officer stokes in her something exciting and defiant. In abandoning the rules of her noble station, she’s aware of the risks: a degraded reputation and the hostile recriminations of St. Petersburg society. But there are even greater stakes as Anna follows desires both romantic and carnal, emancipating and destructive.
The embodiment of the clash between Russia’s old-world tradition and its liberal reform, Leo Tolstoy’s willful heroine remains one of the most notorious and tragic in all of world literature."
Tarzan of the Apes (AmazonClassics Edition),"John Clayton III, an orphan boy, comes of age in the western coastal jungles of Africa following the tragic deaths of his aristocratic parents. Raised in the ways of the apes by his adoptive mother, Kala, he is renamed Tarzan and ascends to king through feats of revenge and courage.
When a group of explorers brings the beautiful Jane Porter to the jungle, a lovelorn Tarzan decides to follow her to the United States to win her love. On his journey back into human society, Tarzan must decide whether to return to the jungle or reclaim his past.
Fast-paced and suspenseful, Tarzan of the Apes was wildly successful and generated two dozen sequels; and many film, radio, and comic-book adaptations.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Common Sense (AmazonClassics Edition),"Published anonymously on January 10, 1776, Thomas Paine’s legendary work made the case for American independence.
An immediate sensation across the thirteen colonies, Common Sense extolled Paine’s belief that government should be simple and represent the will of the people, acting not as an oppressor but as a body to protect society. His clear and persuasive argument appealed to the common people, impressing on them the importance of secession from Great Britain. Six months after Common Sense was published, independence was declared, and the American Revolution was born.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Heart of Darkness (AmazonClassics Edition),"River steamboat captain Charles Marlow has set forth on the Congo in Africa to find the enigmatic European trader Mr. Kurtz. Preceded by his reputation as a brilliant emissary of progress, Kurtz has now established himself as a god among the natives in “one of the darkest places on earth.” Marlow suspects something else of Kurtz: he has gone mad.
A reflection on corruptive European colonialism and a journey into the nightmare psyche of one of the corrupted, Heart of Darkness is considered one of the most influential works ever written."
The Beautiful and Damned (AmazonClassics Edition),"Anthony Patch is the idle heir to a vast fortune. His wife, Gloria, dazzles society with her good looks. Satisfied by privilege and beauty alone, they are beholden only to the “magnificent attitude of not giving a damn.” When Anthony’s inheritance is withheld, it causes an irreparable rift in their marriage, threatening their fragile paradise. Oblivious to their future, he and Gloria have little left to define themselves but their ever-receding pasts.
A bitter critique of the empty pleasures of post–World War I Café Society, The Beautiful and Damned endures not only as a cautionary tale but as a social artifact of the decadent Roaring Twenties.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Tell-Tale Heart and Other Stories (AmazonClassics Edition),"Edgar Allan Poe elevated the gothic story, developed the unreliable narrator, recast psychological terror, and reveled in both the horror and the supernal beauty of death. From Poe’s rich, unrivaled imagination comes a collection of his most masterful works, including “The Black Cat,” “The Fall of the House of Usher,” and, of course, “The Tell-Tale Heart.” Each story explores morbid themes of grief, greed, fear, and guilt, and together they embody Poe’s grotesque obsessions—even the dread of being buried alive.
At the beating heart of each of these eighteen tales—and his tour de force in verse, “The Raven”—is proof that Poe can still surprise, shock, unsettle, and hold readers in thrall after more than a century.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Gulliver's Travels (AmazonClassics Edition),"Lemuel Gulliver, English surgeon turned ship captain, embarks on four fantastic voyages, each a clash with strange beings and cultures—from the eccentric to the odious. Island by island, he meets the savage but tiny Lilliputians, the hideous Yahoos, a stable of talking horses, a race of decrepit immortals, and the ghosts of Julius Caesar and Homer.
A parody of the popular seafaring narratives of his time, a harsh judgment against inherently corrupt human nature, and a satire of the ways of England, Swift’s masterpiece was written “to vex the world rather than divert it.” For generations, it has inspired it.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Dubliners (AmazonClassics Edition),"In exploring everyday life and its intersections with death, this enduring collection of stories offers a naturalistic depiction of the working class in early twentieth-century Dublin. Joyce masterfully portrays frustrations and aborted desires to escape the mundane; transformative epiphanies both great and small; and the restraints, loneliness, violence, and contemplations of lives lived.
Though Joyce’s subjects were considered as taboo as his language was unsavory, Dubliners was a milestone work praised for its unflinching realism. It remains a transcendent and relatable portrait of the perils—and acceptance—of the human condition.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
"The Brothers Grimm: Illuminated Fairy Tales, Vol. 1 [Kindle in Motion]","From “Rapunzel” to “Hansel and Gretel,” Grimm’s Fairy Tales have enchanted readers for generations. This dramatic Kindle in Motion edition presents seven classic stories—each restored to its original version and reimagined with modern digital illustrations.
Each tale is lovingly portrayed by a different artist: Kali Ciesemier’s vibrant colors animate the thorny path of “Briar Rose.” The sinister course of “Hansel and Gretel” takes a twist in the candy hues of Peter Diamond. Daniel Krall’s richly detailed line work shines amid the wickedly dark “The Juniper-Tree.” Nicolas Rix’s charming storybook style delights in “The Frog-Prince or Iron Henry.” Ashley Mackenzie’s golden tones light up the ball in “Cinderella.” Horses, ducks, and birds turn macabre in Wesley Allsbrook’s wildly gestural portrayal of “The White Snake.” And Rapunzel lets down her hair in Rovina Cai’s hauntingly beautiful drawings.
Experience the iconic classics you know and love, lavishly illustrated to breathe new life into age-old tales."
Twenty Thousand Leagues Under the Sea (AmazonClassics Edition),"In 1866, sightings of a legendary sea monster prompt a daring expedition out of New York City. Professor Pierre Aronnax, his servant Conseil, and whaler Ned Land are among the crew of the United States Navy frigate Abraham Lincoln. Though they are fearless, nothing prepares them for the “creature” itself—the Nautilus—a powerful, destructive submarine years ahead of its time. At the helm of the vessel is the brilliant Captain Nemo, who pulls the men deep into the wonders of the seas and the dark depths of his mind.
Regarded as one of the great adventure novels of all time, Jules Verne’s prophetic masterpiece, republished here in Lewis Page Mercier’s translation, is at once an enthralling underwater quest and a tale of isolating madness."
Self-Reliance and Other Essays (AmazonClassics Edition),"In this definitive collection of essays, including the poignant title essay “Self-Reliance,” Ralph Waldo Emerson expounds on the importance of trusting your soul, as well as divine providence, to carve out a life. A firm believer in nonconformity, Emerson celebrates the individual and stresses the value of listening to the inner voice unique to each of us—even when it defies society’s expectations.
Self-Reliance and Other Essays is the perfect companion for those who have marched to the beat of a different drummer and wish to better understand the transcendentalist leader’s groundbreaking philosophy to find personal fulfillment.
AmazonClassics brings you timeless works from iconic authors. Ideal for anyone who wants to read a great work for the first time or revisit an old favorite, these new editions open the door to the stories and ideas that have shaped our world."
Orthodoxy (AmazonClassics Edition),"After the success of Heretics, G. K. Chesterton was challenged and compelled to share the story of his pilgrimage to faith. The result is this bracing, watershed religious autobiography in which he follows the doctrines determined in the Apostle’s Creed to deliver a personal, yet universal, defense of Christianity. Ultimately, the literary giant answers the question—not of whether divinity can be believed—but rather, how he himself came to believe it.
One of the twentieth century’s most influential works, Chesterton’s dynamic and oftentimes sharply witty testimony remains a masterpiece of Christian apologetics."
Bushido: The Soul of Japan (AmazonClassics Edition),"Inazo Nitobé’s Bushido: The Soul of Japan is a poetic inquiry into the ethos of his homeland.
Through a study of the way of the samurai, Nitobe identifies the seven virtues most widely recognized by the Japanese: rectitude, courage, benevolence, politeness, veracity, honor, and loyalty. In sharing these moral guidelines, handed down over generations, Nitobe gives the world unique insight into a previously unexplored code of honor.
Written in English and only translated years later into Japanese, Bushido was an inspiration to many Western leaders, including two US presidents—Theodore Roosevelt and John F. Kennedy. After centuries, the samurai principles are now applied around the world and recognized as universal ideals."
America Is in the Heart: A Personal History (AmazonClassics Edition),"Carlos Bulosan’s idealism and ambition would seem to position him for certain success in America, even given how young he is when he first makes the journey from the Philippines. However, after arriving in Seattle, employers are far more concerned with his Filipino background than they are with his character. Low-paying jobs—and an uncertain future—remain his daily reality. Working the harvest trail from the Pacific Northwest down to California, Bulosan is subject to labor disputes, police brutality, vigilantism, and racial prejudice, but he somehow manages to retain his spirit, his drive, and his belief in a better future. A moving exploration of life on the social and economic margins, America Is in the Heart is a vital testimony of Asian American literature."
Don Quixote (AmazonClassics Edition),"Don Quixote, a man driven by chivalrous ideals and wild delusions, adopts sword and lance as a knight-errant to defend the weak, slay the ignoble, and win the heart of the farm girl he envisions as a princess. In his world of fantasy—where inns are castles, peasants are kings, and windmills are beasts—Quixote, his nag, and his sound but devoted squire, Sancho Panza, set forth on a picaresque adventure conceivable only to a man obsessed.
One part legendary quest, one part metareflection of that very legend, Don Quixote remains, after four centuries, one of the most radical, profound, playful, and heartbreaking epics ever dreamed."
A Christmas Carol (AmazonClassics Edition),"Ebenezer Scrooge has no time for the poor or the wretched. And it’s “Bah, humbug!” to anyone who wishes him a Merry Christmas. But when he turns in for the night one cold, fateful Christmas Eve, his past, present, and future converge. Three haunting guests are about to show him that the time has come to change his miserly ways—before it’s too late.
Discover the everlasting spirit of the holiday season in Charles Dickens’s cherished story of hope, joy, empathy, and love."
The Island of Doctor Moreau (AmazonClassics Edition),"On an uncharted South Pacific island, the mad genius Doctor Moreau has found refuge. It’s here, away from London and the civilized world, that the scientist can conduct his experiments on animals without condemnation. When Edward Prendick, the sole survivor of a shipwreck, washes ashore, he bears witness to Moreau’s cruel research and its bloody, inevitable unraveling.
In exploring the disquieting crossroads of scientific progress and ethical responsibility, Wells’s cautionary account of the perversion of natural order rattles readers’ sensibilities to this day."
The Strange Case of Dr. Jekyll and Mr. Hyde (AmazonClassics Edition),"Dr. Henry Jekyll, fascinated by the dichotomy of good and evil, no longer wants to inhibit his dark side. He concocts a potion to create the alter ego of Mr. Edward Hyde. With the burden of evil placed on Hyde, Jekyll can now take pleasure in his immoral, nefarious fantasies—free of conscience and guilt. It’s when Hyde turns to murder that Jekyll realizes how monstrous his impulses are and how hard they are to suppress.
Exploring the nature of shame, repression, desire, and control, Stevenson’s story has so endured that “a Jekyll and Hyde personality” has become part of our lexicon in understanding our own—sometimes involuntary—duality."
The Three Musketeers (AmazonClassics Edition),"Young nobleman d’Artagnan has arrived in Paris intent on joining the guardians of King Louis XIII. He befriends the regiment’s most formidable musketeers, Athos, Porthos, and Aramis, and together they unite in their commitment to uphold justice. Soon, a royal indiscretion thrusts them into an audacious escapade of courtly intrigue, thwarted romance, and daring rescue. But it’s the Machiavellian schemes of a powerful enemy and the wicked seductions of an ingenious female spy that will be their greatest challenges.
Alexandre Dumas’s thrilling epic stands as one of the most entertaining historical adventures ever written and has made immortal the all-for-one heroism of these comrades in arms."
Around the World in Eighty Days (AmazonClassics Edition),"Pragmatic gambler Phileas Fogg has made a gentlemanly wager to the members of his exclusive club: that he can circle the world in just eighty days, right down to the minute. Fetching his newly appointed French valet, Fogg embarks on a fabulous journey across land and sea—by steamer, rail, and elephant—to win the bet of a lifetime.
Inspired by Jules Verne’s own sea travels and his fascination with circumnavigating the globe, the avid dreamer’s picaresque voyage inspired generations of adventurers who were eager to best Verne’s challenge—from nineteenth-century journalist Nellie Bly to Monty Python’s Michael Palin.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Alice's Adventures in Wonderland (AmazonClassics Edition),"On a drowsy afternoon by a riverbank, a young and distracted Alice follows a rabbit into a fantastical underground world that grows curiouser and curiouser. Dared, insulted, amused, and threatened by a succession of anthropomorphic creatures, the indomitable Alice falls deeper into a swirl of the imagination where logic has no place.
Referenced, resourced, analyzed, and embraced since its publication in 1865, Carroll’s masterpiece of the irrational has inspired such varied artists as Walt Disney, Marilyn Manson, Jerome Kern, James Joyce, and Tim Burton. It stands as one of the most extravagantly and ingeniously absurd works in the English language."
Winnie-the-Pooh (AmazonClassics Edition),"Winnie-the-Pooh invites readers to join Christopher Robin and his beloved bear as they wander through a charming, open-skied environment full of possibilities. In their enchanting forest, Pooh and his friends follow their curiosity into beehives, Heffalump traps, a sailing expedition in an upturned umbrella, and more.
A. A. Milne’s bestselling marvel of invention explores the world through the eyes of an incredibly imaginative child—a world made all the richer by Milne’s humor and wisdom. Sensitive, playful, and endearing, the whimsical escapades of Winnie-the-Pooh have been treasured by generations of readers."
The Woman in White (AmazonClassics Edition),"Art teacher Walter Hartright is on the road to London when he encounters an enigmatic woman dressed entirely in white. She’s an unnerving portent of strange things to come as Hartright starts a new job as drawing-master at Limmeridge House. There the teacher falls in love with Laura, his betrothed pupil, who bears a striking resemblance to the woman in white. Soon Walter is drawn into a family intrigue of greed, secrets, madness, and revenge.
Written in the form of testimonies, letters, and diary entries, Wilkie Collins’s gothic epistolary novel is regarded as the first “sensation” mystery. More than 150 years later, it continues to keep readers guessing."
The Pilgrim's Progress (AmazonClassics Edition),"Plagued by spiritual anguish, devout everyman Christian fears his fate in the sinful City of Destruction. He’s told that only by embarking for the Celestial City can he achieve personal salvation. After his wife and children refuse to join him, he sets forth alone into the unknown. Mocked for his faith, tempted at every turn, and heartened by fellow pilgrims, Christian’s winding journey toward grace unfolds. But as he reaches Mount Zion, his family chooses to follow the same treacherous path, hoping to join Christian in the shining light.
John Bunyan began to write The Pilgrim’s Progress while in prison for nonconformist preaching. His dream-framed allegory, edited in 1909 by American clergyman Jesse Lyman Hurlbut, stands as one of the most profoundly influential novels ever written."
Peter and Wendy (AmazonClassics Edition),"The Darling children of Bloomsbury have a secret. His name is Peter Pan, a mischievous night visitor who’s somewhere “betwixt and between” a boy and a bird and who refuses to grow up. When Peter invites young Wendy and her two brothers to follow him back to his Neverland home, an adventure beyond any bedtime story unfolds.
A world apart from its innumerable renditions, sequels, and spin-offs, Barrie’s Peter and Wendy is a strange, beautiful, dark, and complex fantasy about the “heartless innocence” of children, the bittersweet longings of adult nostalgia, and the realities and fears of growing up.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Wind in the Willows (AmazonClassics Edition),"Mole, Rat, and Badger are Toad’s dearest friends even as the aristocratic amphibian’s wastrel ways get him into trouble. After being arrested and sentenced to jail, he returns to his ancestral home of Toad Hall to find it overrun with stoats and weasels from the Wild Wood. But his friends haven’t abandoned him yet. In fact, they’ve conspired to help drive the villainous vermin from his home.
Embracing themes of empathy and friendship under the most trying conditions, The Wind in the Willows follows the journey of its anthropomorphic characters through the changing seasons of the English countryside while providing life lessons that have endured for generations.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
White Fang (AmazonClassics Edition),"Wronged by human and beast alike, White Fang has endured through brazen ferocity. An enemy of his kind, he is sold to a dogfighter who pits him against other canines to the death—until a Yukon gold hunter comes to his rescue and provides an opportunity for a new life. As the wolf in White Fang sleeps, kindness and compassion allow him to understand what it means to be in the confidence of man.
Considered both a companion and mirror to The Call of the Wild, this stirring adventure of friendship and survival reveals the conflicts between domesticity and instinct, as well as society and the natural world.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Hound of the Baskervilles (AmazonClassics Edition),"Sir Charles Baskerville is dead. His body was discovered on the grounds of his Devonshire estate, face frozen in fright, not far from the footprints of a large beast. The cause of death has been determined to be a heart attack, but family legend tells another tale, and Detective Sherlock Holmes is determined to uncover the truth.
So whodunit on the foggy moors of Baskerville Hall? In one of literature’s greatest original page-turners, the answer is a classic.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Jungle Book (AmazonClassics Edition),"Orphaned as a baby, human-boy Mowgli is adopted by wolves, befriended by Baloo the bear, and educated in the wonders and dangers of the Indian jungle. But the adventures of The Jungle Book don’t end with the young man-cub and his unusual new family. Through tales of Kotick the White Seal, Rikki-tikki-tavi the mongoose, and others, readers learn about courage and survival, rules and order, principles and morals, coming-of-age, and the thrill of self-discovery.
Rudyard Kipling’s fables reflect both his childhood in India and his vivid imagination, while exploring the relationship between civilization and the wild.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Personal Memoirs of Ulysses S. Grant (AmazonClassics Edition),"In this epic 1885 work, General Ulysses S. Grant, eighteenth president of the United States and staunch supporter of the Union cause, set the record straight on his storied life and career. At its heart is Grant, victor and eyewitness to the defining moments of the Civil War, including the Battles of Shiloh, Chattanooga, and the Wilderness; the Siege of Vicksburg; and the Appomattox campaign, which concluded with the surrender of Confederate general Robert E. Lee.
Featuring maps, illustrations, and personal correspondence, Personal Memoirs of Ulysses S. Grant reveals the candid, often witty, and pragmatic military genius as one of the most vital observers of war and peace in the history of American letters."
The Yellow Wallpaper (AmazonClassics Edition),"In a long-unoccupied mansion, a new mother is confined to what was once a nursery. She is assured by her physician husband that it is a necessary cure to ease her “nervous depression.” Isolated and powerless, she becomes obsessed with the peeling, sickly colored wallpaper. In it, she sees what no one else can: a prisoner desperate to escape its maddening design.
A condemnation of the patriarchy, The Yellow Wallpaper explores with terrifying economy the oppression, grave misunderstanding, and willful dismissal of women in late nineteenth-century society. I read this short story every time I come across it. And it gets better with each reading. The author skillfully and subtly weaves the main character's increasing break from reality with seemingly sane thoughts until suddenly you realize the main character has gone insane."
Robinson Crusoe (AmazonClassics Edition),"When mariner Robinson Crusoe sails from London to the African coast to Brazil, his unpredictable voyage takes a catastrophic course. The lone survivor of a shipwreck, he washes ashore on an Atlantic island. Resourceful and determined to contend with providence and nature, he finds his sovereignty empowering. Through the years he builds a civilization as a solitary man. Then he discovers a stranger’s footprint in the sand.
A pioneering work of literary realism, Daniel Defoe’s epic has left an inestimable legacy. Arguably the first English novel and the archetype of the survivalist genre, Robinson Crusoe has become a symbol of self-reliance and individualism."
Othello (AmazonClassics Edition),"As war rages between Venice and Turkey, Othello, a Moorish general in the Venetian army, is determined to lead his men to victory with his trusted ensign, Iago. But, after being passed up for a promotion, Iago has plans of his own. Using the general’s wife, Desdemona, as a pawn, Iago spins an elaborate web of deception. Once he has Othello where he wants him, revenge will be his.
One of Shakespeare’s most performed tragedies, Othello’s themes of racism, revenge, and betrayal continue to resonate, as does its most tantalizing and arguable question: What makes Iago so unconscionably evil?"
Shakespeare's Sonnets (AmazonClassics Edition),"The secret of their identities has fueled debate for hundreds of years: Who are the nameless nobleman and the dark-haired mistress? And what did they do to inspire the creation of more than 150 deeply intimate poems?
Whether William Shakespeare’s sonnets are pure fiction or the lingering echo of an autobiographical account, this exquisitely written collection defied traditional love poem conventions to explore the many layers of romance, the dangers of lust, and the nuances of beauty. Since their publication, Shakespeare’s poems have served as touchstones, providing readers from all walks of life with the opportunity to articulate the inscrutable feelings of the heart.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
The Idiot (AmazonClassics Edition),"After being treated for epilepsy at a Swiss sanatorium, Prince Muishkin returns to St. Petersburg to reconnect with a wealthy distant relative and her family. Guileless and charming, Muishkin endears himself to everyone he meets, and they place him in the center of high society’s conflicts. Soon Muishkin becomes caught in a sphere of jealousy, betrayal, extortion, and murder. And he finds his loyalties divided between two women—one needing love, the other salvation.
Fyodor Dostoyevsky’s most personal work, The Idiot is an uncompromising look at a corrupt world where moral men and women are sometimes limited to immoral choices."
The Call of the Wild (AmazonClassics Edition),"In this classic American adventure, Jack London explores the laws of civilization and wilderness—and the pull of instinct—through the eyes of Buck, a half Saint Bernard, half Scottish shepherd. Stolen from his comfortable life in California, Buck is sold into service as a sled dog during the Klondike Gold Rush, where returning to his primordial nature is the only way for him to survive.
London drew on his own experiences as a prospector in the Canadian wilderness, as well as the philosophies of Charles Darwin and Friedrich Nietzsche, for this enduring tale of survival."
Andersen's Fairy Tales (AmazonClassics Edition),"Uniting universal themes with a wonderfully personal vision of the world, Hans Christian Andersen found magic in the landscape of childhood. His talking animals and living toys shine a sparkling light on the strange wisdom of innocence and the deceptive nature of adulthood. These stories have now been adapted into countless classic films (including The Little Mermaid, The Red Shoes, and Frozen—which was based on “The Snow Queen”) and have become part of our everyday speech, such as when we talk about “ugly ducklings” and “the emperor’s new clothes.”
Transcending generations, language, and nationality, these stories continue to delight and enlighten us in equal measure."
Poirot Investigates (AmazonClassics Edition),"An impossible grand theft in a posh Brighton hotel. The locked-room murder of an Italian nobleman. The suspicious suicide of a man worth more dead than alive.
What are the motives behind these puzzling crimes? In Agatha Christie’s first collection of short stories, eleven mysteries in all, detective Hercule Poirot makes his investigations. Leave it to the unflappable Belgian sleuth and his partner, Captain Arthur Hastings, to put the pieces together."
Emily of New Moon (AmazonClassics Edition),"After Emily Starr loses her dear father, the ten-year-old orphan is packed off to live with her starched relatives on Prince Edward Island. If only she could relate to them. Frankly, whip-smart, ambitious Emily can’t imagine ever feeling at home at New Moon Farm. Especially when her writerly dreams are routinely dashed by her autocratic aunt. Then Emily finds an outlet for her creative spirit with a group of friends every bit as passionate and gifted as she. With their help, New Moon could start to feel like home after all.
Lucy Maud Montgomery’s semiautobiographical coming-of-age tale is a bittersweet ode to family, friendship, and forging your own path in life."
